Sample,PqueryName,Multiplicity,LWR.1,LWR.2,LWR.3,LWR.4,LWR.5,Remainder
RAxML_portableTree.dino_epa,4d43cbbc7f7eda599d52b0cfb45eb9e680e5f73f_19,1,0.390517,0.304831,0.304651,0.0,0.0,0.0
RAxML_portableTree.dino_epa,77d331b6c643673e276b62b2e15516237f8ccc95_20,1,0.496505,0.094628,0.09458,0.038223,0.038145,0.228227
RAxML_portableTree.dino_epa,d089ac883663426a904bc9f2931c308f192daf21_17,1,0.388255,0.305967,0.305777,0.0,0.0,0.0
RAxML_portableTree.dino_epa,e15cb9898273060c229841f7fb78909e71605eda_26,1,0.359825,0.040081,0.040012,0.039723,0.039144,0.471768
RAxML_portableTree.dino_epa,052e375b1b8b03de9eabd6a56c290fd8bf2bdce8_21,1,0.428356,0.083396,0.059094,0.059008,0.044563,0.315734
RAxML_portableTree.dino_epa,3f0e54d8c01430218d451533f9f0a51a73c940c2_14,1,0.281509,0.048348,0.04812,0.048017,0.048015,0.516227
RAxML_portableTree.dino_epa,6081f75ff97eecd031bcbf61649012efaf8bdb9c_37,1,0.130253,0.130213,0.127532,0.11416,0.114148,0.375366
RAxML_portableTree.dino_epa,8aedb764b91c410e79af9a410626e2d190432588_18,1,0.779621,0.094516,0.094398,0.020598,0.00221,0.0
RAxML_portableTree.dino_epa,a3f25554630d8b611b934cd5129e486ee8f74c45_16,1,0.389903,0.244933,0.192215,0.064169,0.013249,0.085559
RAxML_portableTree.dino_epa,a9b2531cf2d5178e21d4aaa7dcc622e7606cce16_14,1,0.131076,0.131042,0.12836,0.114817,0.114799,0.37086
RAxML_portableTree.dino_epa,05a727ecc8072d8ff4e676fe70250eeb661e2aa5_11,1,0.184782,0.183547,0.18314,0.093212,0.08526,0.260824
RAxML_portableTree.dino_epa,223ed0fe0e2696e07d5888992182926f8cdb6d2f_11,1,1,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,2c7f5ae8e54dc84205013a4ace2b3f486aee8903_13,1,0.062455,0.033596,0.017264,0.016177,0.016135,0.844681
RAxML_portableTree.dino_epa,3d184ea6a8005e325a98496bc2c0e46d90a0b570_23,1,0.597121,0.200315,0.166562,0.012307,0.008938,0.004951
RAxML_portableTree.dino_epa,478a288b1bd9efce4a7784f481579015b448dfea_10,1,0.479188,0.258466,0.252691,0.0,0.0,0.0
RAxML_portableTree.dino_epa,4cfa51b52bf80fb0132dbeee7c77311d55ebbbc3_14,1,0.416003,0.093256,0.093223,0.071975,0.071971,0.246113
RAxML_portableTree.dino_epa,4db83ae1a5b02c7637ee985a00935ea6da0034a9_10,1,0.02323,0.021132,0.021132,0.021131,0.020985,0.882417
RAxML_portableTree.dino_epa,92e8d7273417b4283b07356893bcd9335a41966a_23,1,0.592086,0.091698,0.062353,0.041163,0.040773,0.16222
RAxML_portableTree.dino_epa,f590b48a342ddad6a9b77178cd18445c05376fd3_13,1,0.385166,0.307504,0.30733,0.0,0.0,0.0
RAxML_portableTree.dino_epa,0201701ea9ed0304fa8260cdc5f8b790895c17d6_14,1,0.568708,0.120545,0.119406,0.065078,0.064959,0.051611
RAxML_portableTree.dino_epa,8c5a62d7716b4a5bfe911645a800d36e59afe6dd_18,1,0.081862,0.078939,0.078808,0.078804,0.078755,0.594029
RAxML_portableTree.dino_epa,29deeb67c772ac4044ec71744905921a9f68ee5c_9,1,0.09988,0.099168,0.099167,0.015961,0.015961,0.659977
RAxML_portableTree.dino_epa,44f11409dfc8e3a951af2ffe4c26da1f8b26ba60_26,1,0.192111,0.191599,0.189225,0.183468,0.183458,0.054593
RAxML_portableTree.dino_epa,4b8ba3c5e3cb0ebb0c0353e28b73998824a941fc_8,1,0.463797,0.294107,0.242086,0.0,0.0,0.0
RAxML_portableTree.dino_epa,569d0c5bc6ed01e1b559e01eed5685ae66ab2228_12,1,0.603174,0.053228,0.044831,0.041749,0.041747,0.206514
RAxML_portableTree.dino_epa,64ec4a367b3035082ade2b723ec9758927bdded8_17,1,0.29252,0.067361,0.05942,0.023377,0.023082,0.524297
RAxML_portableTree.dino_epa,7e42418129ea5aaea8d3149fba519f32ca6ad996_26,1,0.436252,0.301985,0.261745,0.0,0.0,0.0
RAxML_portableTree.dino_epa,84e420408460fd0519b7dc846f8239a6e1aba082_9,1,0.798426,0.139224,0.059736,0.0,0.0,0.0
RAxML_portableTree.dino_epa,a2357d1f3dd7275476e8e5d782deeab3038aa403_13,1,0.91048,0.033024,0.006599,0.006373,0.004906,0.028792
RAxML_portableTree.dino_epa,35ec737728ca4e6f498a12719de09b79099c27d5_12,1,0.779966,0.152944,0.062348,0.0,0.0,0.0
RAxML_portableTree.dino_epa,ef02f2a97f01c3be157c52e25513b9477856f56c_6,1,0.448209,0.298686,0.253092,0.0,0.0,0.0
RAxML_portableTree.dino_epa,0b32ab63926c0405c1441d7fed5db87a70cdcc79_9,1,0.504515,0.248514,0.233984,0.003671,0.0,0.0
RAxML_portableTree.dino_epa,0e12e913708a090ec2aa02d10086882f87c721b3_15,1,1,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,7f82fcfab420aadea863c2d4fe7fd6b65aefd4ba_5,1,0.34999,0.338555,0.29774,0.006677,0.0,0.0
RAxML_portableTree.dino_epa,c50196f46f1ce669b41fb6cf7f2782521bf1faba_8,1,0.402125,0.057255,0.057254,0.054556,0.050575,0.368341
